date,open,high,low,close,volume
2023-04-19,665.0,675.0,665.0,675.0,100.0
2023-04-20,665.0,675.0,665.0,675.0,100.0
2023-04-24,670.0,670.0,670.0,670.0,325.0
2023-04-25,670.0,670.0,670.0,670.0,200.0
2023-04-26,670.0,670.0,670.0,670.0,161.0
2023-04-27,670.0,670.0,670.0,670.0,315.0
2023-04-28,670.0,670.0,665.0,665.0,2335.0
2023-05-01,670.0,670.0,665.0,665.0,2335.0
2023-05-02,670.0,670.0,665.0,665.0,2335.0
2023-05-04,650.0,665.0,650.0,665.0,689.0
2023-05-05,665.0,665.0,665.0,665.0,10.0
2023-05-08,620.0,650.0,620.0,650.0,257.0
2023-05-09,620.0,650.0,620.0,650.0,257.0
2023-05-10,620.0,620.0,605.0,605.0,250.0
2023-05-11,650.0,650.0,650.0,650.0,5.0
2023-05-12,650.0,650.0,650.0,650.0,5.0
2023-05-15,690.0,690.0,605.0,605.0,1460.0
2023-05-16,615.0,620.0,615.0,620.0,46.0
2023-05-17,660.0,660.0,660.0,660.0,30.0
2023-05-18,660.0,660.0,660.0,660.0,30.0
2023-05-19,670.0,670.0,670.0,670.0,67.0
2023-05-22,670.0,670.0,670.0,670.0,30.0
2023-05-23,660.0,660.0,660.0,660.0,45.0
2023-05-24,650.0,660.0,650.0,660.0,243.0
2023-05-25,660.0,660.0,660.0,660.0,40.0
2023-05-26,655.0,670.0,655.0,670.0,988.0
2023-05-29,655.0,670.0,655.0,670.0,988.0
2023-05-30,660.0,690.0,660.0,690.0,2190.0
2023-05-31,680.0,680.0,680.0,680.0,65.0
2023-06-01,680.0,680.0,680.0,680.0,89.0
2023-06-02,680.0,680.0,680.0,680.0,89.0
2023-06-05,630.0,680.0,630.0,680.0,126.0
2023-06-06,630.0,680.0,630.0,680.0,218.0
2023-06-07,680.0,680.0,680.0,680.0,111.0
2023-06-08,680.0,680.0,680.0,680.0,394.0
2023-06-09,680.0,680.0,680.0,680.0,95.0
2023-06-12,680.0,680.0,680.0,680.0,95.0
2023-06-15,675.0,675.0,675.0,675.0,145.0
2023-06-16,675.0,675.0,675.0,675.0,25.0
2023-06-19,680.0,680.0,675.0,675.0,45.0
2023-06-20,645.0,680.0,645.0,680.0,310.0
2023-06-21,680.0,680.0,680.0,680.0,115.0
2023-06-22,680.0,680.0,680.0,680.0,15.0
2023-06-23,680.0,680.0,680.0,680.0,15.0
2023-06-27,680.0,680.0,680.0,680.0,38.0
2023-06-28,680.0,680.0,680.0,680.0,38.0
2023-06-29,680.0,695.0,680.0,695.0,6188.0
2023-06-30,695.0,695.0,695.0,695.0,2.0
2023-07-03,695.0,695.0,695.0,695.0,4753.0
2023-07-04,695.0,695.0,695.0,695.0,4753.0
2023-07-05,695.0,695.0,695.0,695.0,15.0
2023-07-06,695.0,695.0,695.0,695.0,209.0
2023-07-07,695.0,695.0,695.0,695.0,209.0
2023-07-10,700.0,700.0,700.0,700.0,10.0
2023-07-11,700.0,700.0,700.0,700.0,10.0
2023-07-12,695.0,695.0,695.0,695.0,141.0
2023-07-13,695.0,695.0,690.0,690.0,471.0
2023-07-14,695.0,695.0,690.0,690.0,471.0
2023-07-17,690.0,690.0,690.0,690.0,200.0
2023-07-18,685.0,690.0,685.0,690.0,363.0
2023-07-19,690.0,690.0,690.0,690.0,15.0
2023-07-20,690.0,690.0,690.0,690.0,55.0
2023-07-21,690.0,690.0,690.0,690.0,157.0
2023-07-24,690.0,690.0,690.0,690.0,157.0
2023-07-26,690.0,690.0,690.0,690.0,42.0
2023-07-27,685.0,685.0,685.0,685.0,502.0
2023-07-28,685.0,700.0,685.0,700.0,914.0
2023-07-31,700.0,700.0,700.0,700.0,110.0
2023-08-01,700.0,700.0,700.0,700.0,110.0
2023-08-02,700.0,700.0,700.0,700.0,173.0
2023-08-03,685.0,685.0,685.0,685.0,71.0
2023-08-04,635.0,700.0,635.0,700.0,2730.0
2023-08-07,635.0,700.0,635.0,700.0,2730.0
2023-08-08,700.0,700.0,700.0,700.0,3.0
2023-08-09,700.0,700.0,700.0,700.0,10.0
2023-08-10,650.0,680.0,650.0,680.0,79.0
2023-08-11,650.0,680.0,650.0,680.0,79.0
2023-08-17,675.0,675.0,675.0,675.0,190.0
2023-08-18,675.0,675.0,675.0,675.0,300.0
2023-08-21,675.0,675.0,675.0,675.0,300.0
2023-08-22,660.0,660.0,660.0,660.0,35.0
2023-08-23,650.0,650.0,650.0,650.0,225.0
2023-08-24,645.0,645.0,645.0,645.0,95.0
2023-08-25,645.0,645.0,645.0,645.0,35.0
2023-08-28,650.0,650.0,650.0,650.0,71.0
2023-08-29,605.0,630.0,605.0,630.0,425.0
2023-08-30,630.0,630.0,630.0,630.0,386.0
2023-08-31,630.0,630.0,630.0,630.0,41.0
2023-09-01,630.0,630.0,610.0,610.0,130.0
2023-09-04,630.0,630.0,610.0,610.0,599.0
2023-09-05,610.0,630.0,610.0,630.0,96.0
2023-09-06,610.0,630.0,610.0,630.0,400.0
2023-09-07,630.0,630.0,630.0,630.0,22.0
2023-09-08,630.0,630.0,630.0,630.0,484.0
2023-09-11,630.0,630.0,630.0,630.0,150.0
2023-09-12,630.0,630.0,630.0,630.0,75.0
2023-09-13,630.0,670.0,630.0,670.0,1958.0
2023-09-14,675.0,675.0,665.0,665.0,127.0
2023-09-15,665.0,665.0,665.0,665.0,3.0
2023-09-18,660.0,660.0,660.0,660.0,2.0
2023-09-19,660.0,660.0,655.0,655.0,211.0
2023-09-20,620.0,650.0,620.0,650.0,485.0
2023-09-21,620.0,650.0,620.0,650.0,485.0
2023-09-22,650.0,650.0,650.0,650.0,60.0
2023-09-25,645.0,645.0,645.0,645.0,4.0
2023-09-26,645.0,645.0,645.0,645.0,48.0
2023-09-27,645.0,645.0,645.0,645.0,48.0
2023-09-28,645.0,645.0,640.0,640.0,407.0
2023-09-29,645.0,645.0,640.0,640.0,407.0
2023-10-02,635.0,635.0,635.0,635.0,26.0
2023-10-03,635.0,635.0,635.0,635.0,58.0
2023-10-04,635.0,640.0,635.0,640.0,1209.0
2023-10-05,640.0,640.0,625.0,625.0,270.0
2023-10-06,625.0,640.0,625.0,640.0,1829.0
2023-10-09,640.0,640.0,640.0,640.0,19.0
2023-10-10,645.0,645.0,640.0,640.0,100.0
2023-10-11,635.0,635.0,635.0,635.0,32.0
2023-10-12,610.0,610.0,610.0,610.0,193.0
2023-10-13,610.0,635.0,610.0,635.0,50.0
2023-10-16,635.0,635.0,635.0,635.0,103.0
2023-10-17,635.0,635.0,635.0,635.0,103.0
2023-10-18,635.0,635.0,615.0,615.0,34.0
2023-10-19,615.0,625.0,615.0,625.0,19.0
2023-10-20,625.0,625.0,625.0,625.0,6.0
2023-10-23,620.0,620.0,620.0,620.0,24.0
2023-10-24,620.0,620.0,615.0,615.0,21.0
2023-10-25,615.0,615.0,610.0,610.0,83.0
2023-10-26,615.0,615.0,615.0,615.0,5.0
2023-10-27,620.0,620.0,620.0,620.0,150.0
2023-10-30,615.0,615.0,615.0,615.0,104.0
2023-10-31,615.0,615.0,600.0,600.0,224.0
2023-11-01,615.0,615.0,600.0,600.0,224.0
2023-11-02,580.0,590.0,580.0,590.0,666.0
2023-11-03,555.0,590.0,555.0,590.0,593.0
2023-11-06,590.0,630.0,590.0,630.0,955.0
2023-11-07,590.0,600.0,590.0,600.0,941.0
2023-11-08,600.0,600.0,600.0,600.0,228.0
2023-11-09,600.0,600.0,600.0,600.0,29.0
2023-11-10,600.0,600.0,600.0,600.0,303.0
2023-11-13,600.0,600.0,600.0,600.0,25.0
2023-11-14,600.0,600.0,600.0,600.0,102.0
2023-11-15,600.0,600.0,600.0,600.0,102.0
2023-11-16,600.0,600.0,600.0,600.0,74.0
2023-11-17,600.0,600.0,600.0,600.0,3.0
2023-11-20,600.0,600.0,595.0,595.0,239.0
2023-11-21,595.0,595.0,595.0,595.0,196.0
2023-11-22,590.0,630.0,590.0,630.0,2679.0
2023-11-23,630.0,660.0,630.0,660.0,1550.0
2023-11-24,650.0,650.0,640.0,640.0,170.0
2023-11-27,595.0,635.0,595.0,635.0,5940.0
2023-11-29,630.0,630.0,625.0,625.0,1119.0
2023-12-01,620.0,620.0,615.0,615.0,16.0
2023-12-04,615.0,615.0,615.0,615.0,227.0
2023-12-05,615.0,615.0,615.0,615.0,1047.0
2023-12-06,615.0,660.0,615.0,660.0,221.0
2023-12-07,615.0,660.0,615.0,660.0,12.0
2023-12-11,690.0,690.0,690.0,690.0,3155.0
2023-12-12,660.0,660.0,660.0,660.0,2.0
2023-12-15,615.0,705.0,615.0,705.0,4858.0
2023-12-18,700.0,700.0,680.0,680.0,49.0
2023-12-19,630.0,680.0,630.0,680.0,617.0
2023-12-21,630.0,680.0,630.0,680.0,5951.0
2023-12-22,670.0,730.0,670.0,730.0,6100.0
2023-12-25,670.0,730.0,670.0,730.0,6100.0
2023-12-26,700.0,750.0,700.0,750.0,646.0
2023-12-27,700.0,745.0,700.0,745.0,2615.0
2023-12-28,745.0,750.0,745.0,750.0,2432.0
2023-12-29,725.0,725.0,725.0,725.0,57.0
2024-01-01,725.0,725.0,725.0,725.0,57.0
2024-01-02,725.0,740.0,725.0,740.0,400.0
2024-01-03,725.0,725.0,725.0,725.0,9.0
2024-01-04,700.0,700.0,700.0,700.0,15.0
2024-01-05,700.0,740.0,700.0,740.0,60171.0
2024-01-08,685.0,685.0,685.0,685.0,72.0
2024-01-09,685.0,730.0,685.0,730.0,159.0
2024-01-10,680.0,720.0,680.0,720.0,84.0
2024-01-11,670.0,670.0,670.0,670.0,50.0
2024-01-15,670.0,670.0,670.0,670.0,136.0
2024-01-16,670.0,670.0,670.0,670.0,81.0
2024-01-17,670.0,670.0,670.0,670.0,10.0
2024-01-19,650.0,650.0,650.0,650.0,7.0
2024-01-22,605.0,605.0,605.0,605.0,228.0
2024-01-23,605.0,605.0,600.0,600.0,662.0
2024-01-24,590.0,600.0,590.0,600.0,89.0
2024-01-25,600.0,600.0,600.0,600.0,325.0
2024-01-26,600.0,600.0,595.0,595.0,317.0
2024-01-29,595.0,635.0,595.0,635.0,4033.0
2024-01-30,590.0,680.0,590.0,680.0,6815.0
2024-01-31,650.0,650.0,650.0,650.0,3.0
2024-02-01,650.0,650.0,650.0,650.0,80.0
2024-02-02,630.0,630.0,630.0,630.0,53.0
2024-02-05,630.0,630.0,630.0,630.0,5.0
2024-02-06,600.0,600.0,590.0,590.0,2317.0
2024-02-07,590.0,590.0,585.0,585.0,87.0
2024-02-08,585.0,585.0,585.0,585.0,1047.0
2024-02-09,590.0,590.0,590.0,590.0,124.0
2024-02-12,590.0,590.0,590.0,590.0,124.0
2024-02-13,600.0,625.0,600.0,625.0,2187.0
2024-02-14,625.0,625.0,625.0,625.0,35.0
2024-02-15,625.0,625.0,625.0,625.0,1.0
2024-02-16,585.0,625.0,585.0,625.0,643.0
2024-02-19,590.0,670.0,590.0,670.0,672.0
2024-02-20,620.0,670.0,620.0,670.0,1156.0
2024-02-21,670.0,680.0,670.0,680.0,565.0
2024-02-22,680.0,690.0,680.0,690.0,1680.0
2024-02-23,680.0,690.0,680.0,690.0,563.0
2024-02-26,690.0,700.0,690.0,700.0,592.0
2024-02-27,690.0,700.0,690.0,700.0,130.0
2024-02-28,695.0,750.0,695.0,750.0,1853.0
2024-03-04,720.0,720.0,720.0,720.0,28.0
2024-03-05,690.0,690.0,690.0,690.0,1562.0
2024-03-06,685.0,685.0,685.0,685.0,101.0
2024-03-07,680.0,685.0,680.0,685.0,2023.0
2024-03-11,635.0,680.0,635.0,680.0,260.0
2024-03-12,675.0,675.0,675.0,675.0,10.0
2024-03-13,625.0,675.0,625.0,675.0,104.0
2024-03-14,625.0,675.0,625.0,675.0,104.0
2024-03-19,625.0,655.0,625.0,655.0,455.0
2024-03-20,610.0,670.0,610.0,670.0,2938.0
2024-03-21,620.0,670.0,620.0,670.0,458.0
2024-03-26,670.0,670.0,665.0,665.0,246.0
2024-03-27,655.0,660.0,655.0,660.0,355.0
2024-03-28,650.0,665.0,650.0,665.0,125.0
2024-03-29,620.0,660.0,620.0,660.0,113.0
2024-04-01,620.0,660.0,620.0,660.0,113.0
2024-04-02,650.0,650.0,645.0,645.0,65.0
2024-04-03,610.0,660.0,610.0,660.0,394.0
2024-04-04,660.0,675.0,660.0,675.0,432.0
2024-04-05,660.0,675.0,660.0,675.0,432.0
2024-04-08,665.0,665.0,665.0,665.0,10.0
2024-04-09,620.0,665.0,620.0,665.0,447.0
2024-04-10,620.0,665.0,620.0,665.0,447.0
